row_id,source_batch,status,game_date,match_raw,match_norm,question_number,question,question_type,field_prob,result,outcome_pct,submitted,submitted_percent,actual_rbp,if_yes_rbp,if_no_rbp,swing_display,notes,target_team,target_player,line
317,raw_paste_collected_in_chat,resolved,2026-06-20,Netherlands vs Sweden,Netherlands vs Sweden,Q1,Will Netherlands win the match?,team_win,59,Yes,100.0,1,57.0,0.67,0.67,3.92,3.0,Beat crowd,,,
327,raw_paste_collected_in_chat,resolved,2026-06-20,Germany vs Ivory Coast,Germany vs Ivory Coast,Q1,Will Germany win the match?,team_win,69,Yes,100.0,1,66.0,0.07,0.07,6.92,7.0,Beat crowd,,,
337,raw_paste_collected_in_chat,resolved,2026-06-20,Ecuador vs Curacao,Ecuador vs Curaçao,Q1,Will Ecuador win the match?,team_win,80,No,0.0,1,83.0,-2.49,2.92,-2.49,5.0,Below crowd,,,
338,raw_paste_collected_in_chat,resolved,2026-06-20,Ecuador vs Curacao,Ecuador vs Curaçao,Q2,Will the match have 3 or more total goals?,match_total_over,57,No,0.0,1,61.0,-2.47,5.97,-2.47,8.0,Below crowd,,,
346,live_lock_spain_2026_06_21,resolved,2026-06-21,Spain vs Saudi Arabia,Spain vs Saudi Arabia,Q6,Will both teams score AND the match have 3 or more total goals?,compound_btts_over_2_5,33,No,0.0,1,29.0,5.01,-2.03,5.01,7.0,Resolved; submitted live before kickoff; Beat crowd,,,
347,live_lock_spain_2026_06_21,resolved,2026-06-21,Spain vs Saudi Arabia,Spain vs Saudi Arabia,Q7,Will Spain win the match?,team_win,85,Yes,100.0,1,87.0,2.29,2.29,-1.99,4.0,Resolved; submitted live before kickoff; Beat crowd,,,
348,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q1,Will Iran commit more fouls than Belgium?,team_more_fouls,58,Yes,100.0,1,56,0.38,0.38,4.38,4.0,actual result: Iran more fouls,Iran,,
349,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q2,Will there be 2 or more total cards shown in the second half?,total_cards_2h_over,56,No,0.0,1,50,8.8,-3.01,8.8,12.0,,,,1.5
350,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q3,Will both teams score AND will the match have 3 or more total goals?,compound_btts_over_2_5,38,No,0.0,1,33,5.7,-4.41,5.7,10.0,,,,2.5
351,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q4,Will Belgium have more shots on target than Iran in the second half?,team_more_sot_2h,66,Yes,100.0,1,56,-5.92,-5.92,14.26,20.0,,Belgium,,
352,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q5,Will there be 4 or more total shots on target in the second half?,total_sot_2h_over,63,Yes,100.0,1,58,-1.78,-1.78,8.21,10.0,,,,3.5
353,live_lock_belgium_2026_06_21,resolved,2026-06-21,Belgium vs Iran,Belgium vs Iran,Q6,Will Belgium win the match?,team_win,69,No,0.0,1,68,2.51,1.32,2.51,1.0,,Belgium,,
